Species	C_T	A_G	T_C	G_T	G_A	A_T	G_C	A_C	C_A	C_G	T_A	T_G	BranchLength	sumOfSubs	C_T_fr	A_G_fr	T_C_fr	G_T_fr	G_A_fr	A_T_fr	G_C_fr	A_C_fr	C_A_fr	C_G_fr	T_A_fr	T_G_fr	Taxonomy	Worker	diet.wood.soil	Soldier	TsTv	Ts	Tv	Cockroaches
BRA29_Labiotermes_sp._1	32	54	34	8	19	30	2	24	8	0	37	22	0.077736506	270	0.118518519	0.2	0.125925926	0.02962963	0.07037037	0.111111111	0.007407407	0.088888889	0.02962963	0	0.137037037	0.081481481	Syntermitinae	1	Soil	1	1.06106870229008	139	131	0
BRA3_Cornitermes_cumulans_1	21	32	28	3	7	22	0	10	5	1	15	7	0.045124156	151	0.139072848	0.21192053	0.185430464	0.01986755	0.046357616	0.145695364	0	0.066225166	0.033112583	0.006622517	0.099337748	0.046357616	Syntermitinae	1	Wood	1	1.3968253968254	88	63	0
BRA8_Labiotermes_sp._1	22	36	40	5	8	33	1	21	7	0	17	16	0.0664562	206	0.106796117	0.174757282	0.194174757	0.024271845	0.038834951	0.160194175	0.004854369	0.101941748	0.033980583	0	0.082524272	0.077669903	Syntermitinae	1	Soil	1	1.06	106	100	0
BRU8_Hospitalitermes_hospitalis_1	9	35	26	1	11	3	0	4	2	0	2	2	0.028543565	95	0.094736842	0.368421053	0.273684211	0.010526316	0.115789474	0.031578947	0	0.042105263	0.021052632	0	0.021052632	0.021052632	Nasutitermitinae	1	Wood	1	5.78571428571429	81	14	0
CA10_Synacanthotermes_sp._1	37	78	63	8	7	21	2	19	8	1	6	15	0.074349111	265	0.139622642	0.294339623	0.237735849	0.030188679	0.026415094	0.079245283	0.00754717	0.071698113	0.030188679	0.003773585	0.022641509	0.056603774	Macrotermitinae	1	Wood	1	2.3125	185	80	0
CA11_Duplidentitermes_sp._1	43	43	40	11	17	71	2	35	21	4	39	21	0.111902971	347	0.123919308	0.123919308	0.115273775	0.031700288	0.048991354	0.204610951	0.005763689	0.100864553	0.060518732	0.011527378	0.112391931	0.060518732	Apicotermitinae	1	Soil	1	0.700980392156863	143	204	0
CA1_Cubitermes_fungifaber_1	14	31	28	0	6	10	1	5	7	0	4	5	0.029441984	111	0.126126126	0.279279279	0.252252252	0	0.054054054	0.09009009	0.009009009	0.045045045	0.063063063	0	0.036036036	0.045045045	Cubitermitinae	1	Soil	1	2.46875	79	32	0
CA20_Leptomyxotermes_doriae_1	42	97	64	11	19	76	5	53	14	8	28	27	0.137545628	444	0.094594595	0.218468468	0.144144144	0.024774775	0.042792793	0.171171171	0.011261261	0.119369369	0.031531532	0.018018018	0.063063063	0.060810811	Nasutitermitinae	1	Soil	1	1	222	222	0
CA27_Acanthotermes_acanthotorax_Cameroon_1	30	61	51	10	12	32	4	53	23	4	25	20	0.085862547	325	0.092307692	0.187692308	0.156923077	0.030769231	0.036923077	0.098461538	0.012307692	0.163076923	0.070769231	0.012307692	0.076923077	0.061538462	Macrotermitinae	1	Wood	1	0.900584795321637	154	171	0
CA35_Basidentitermes_aurivillii_Cameroon_1	43	34	31	5	17	30	3	11	11	3	16	7	0.074613571	211	0.203791469	0.161137441	0.146919431	0.023696682	0.08056872	0.142180095	0.014218009	0.052132701	0.052132701	0.014218009	0.075829384	0.033175355	Cubitermitinae	1	Soil	1	1.45348837209302	125	86	0
